bright,"밝은, 선명한, 발랄한"
bird,"새, 사람"
bottle,"병, 한 병, 술, 우유병"
wind,"바람, 가스, 숨[호흡]"
wall,"담, 벽, 벽[내벽]"
smoke,"연기, 담배 한 대 피우기"
copy,"복사[복제], 한 부, 원고[소식/기사]"
bear,"참다, 떠맡다[감당하다]"
busy,"바쁜, 붐비는, 통화 중인"
sad,"슬픈, 통탄할, 지루한, 상태가 안 좋은"
twice,"두 번, 두 배[갑절]로"
bus,"버스, 버스"
nose,"코, 앞부분, 알아보는[찾아내는] 능력"
dry,"마른, 가문[건조한], 건성인"
pool,"냉탕, 웅덩이[못], 고여 있는 곳"
seat,"자리, 좌석이 …개인, 앉는 부분"
sick,"아픈, 메스꺼운, 멀미가 나는[멀미를 하는]"
dish,"접시, 설거지감[그릇들]"
paint,"페인트, 그림물감"
noise,"소리, 잡음, 잡음[노이즈]"
ship,"배, 선박, 함선"
holiday,"휴가, 공휴일, 연말연시"
trip,"여행, 환각 체험, 발을 헛디딤[곱디딤]"
strike,"치다, 때리다[치다]"
library,"도서관, 서재, 장서[수집품]들"
moon,"달, 달, 위성"
mountain,산더미
chair,"의자, 의장직[석], 학과장"
lady,"여자 분, 교양 있는 여성"
pocket,"주머니, 주머니[포켓]"
cross,"표, 십자가, 예수가 못 박혀 죽은 십자가"
thin,"얇은, 마른, 숱이 적은"
snow,눈
straight,"똑바로 , 곧장, 바로[똑바로]"
peace,"평화, 평온, 화평"
kick,"차다, 뻗다[차다], 발을 구르다[땅을 치다]"
leaf,"잎, 낱장, 박, 덧판"
milk,"우유, 젖"
round,"둥근, 반구형의, 어림수의"
spring,"봄, 용수철, 탄력, 샘"
desk,"책상, 프런트[접수처]"
wake,"깨다[일어나다], 일깨우다[떠올리게 하다]"
luck,좋은 운
handle,다루다[다스리다/처리하다]
plane,"비행기, (평평한) 면, 차원[수준]"
gold,"Au 금, 금화, 금빛"
Hi,안녕
birthday,생일
thick,"두꺼운, 숱이 많은, 걸쭉한"
ear,"귀, 귀, 이삭"
empty,"비어 있는, 공허한, ~이 없는"
weak,"약한, 약한[나약한]"
clock,"시계, 마일계[주행계]"
dad,아빠
swim,"수영하다, 수영을 하다[하러 가다]"
print,"인쇄하다, 찍다[출간/발행하다]"
below,"아래에, 아래에[못 되는]"
telephone,"전화, 송수화기"
beach,"해변, 바닷가, 호숫가"
apple,사과
cake,"케이크, 빵[떡/튀김]"
score,"득점, 점수[지수], 악보"
cream,"크림, 크림 , 크림색"
King,"왕,국왕"
circle,"원형, 동그라미, 둥글게"
village,"마을, 마을 사람들"
shoulder,"어깨, 어깨 , 어깨살"
shout,"외치다, 소리를 내다[지르다]"
hat,"모자, 직책[역할]"
bread,"빵, 돈"
flower,"꽃, 화초, 꽃"
pilot,"조종사, 수로 안내인, 견본[시험] 방송용 프로그램"
river,"강, 강[강물]"
post,"우편, 우편물, 우편물 수거[배달] 시간"
brown,"갈색[밤색/고동색]의, 갈색인[햇볕에 탄]"
switch,"스위치, 전환, 선로 변환기"
sheet,"시트, 한 장, 한 장[판]"
potato,감자
ticket,"표, 복권, 딱지, 공천 후보자 명단"
knock,"두드리다, 치다[찧다/부딪치다]"
wash,"씻다, 물에 씻을 수 있다[씻기다]"
cheese,"치즈, 치즈[김치] 하세요!"
neck,"목, 목 부분"
map,"지도, 약도"
glad,"기쁜, … 고마운, 기꺼이 …하려는"
hall,"현관, 복도, 홀[회관/-실]"
toy,장난감
ill,"아픈, 나쁜, 불길한"
excellent,"훌륭한, 아주 좋아"
cloud,"구름, 자욱한 것, 먹구름[그림자]"
tomato,토마토
breakfast,"아침, 아침 식사"
stupid,"어리석은, 빌어먹을"
square,"정사각형 모양의, 직각의"
grandmother,"할머니, 외할머니"
button,"단추, 버튼[단추], 배지"
dirty,"더러운, 추잡한, 정직하지 못한"
say,"말하다, , 표현하다[말하다]"
well,"잘, 철저히, 아주, 쉽게"
just,"딱, …하는 바로 그 순간에"
minute,"분, 잠깐, 순간, 회의록"
sound,"소리, 음[소리], 소리[음향]"
top,"맨 위 , 위[윗면], 최고[정상]"
fine,"질 높은, 건강한, 괜찮은[좋은]"
arm,"팔, 소매, 팔걸이, 암"
rock,"암석,암반,암초"
shoot,"쏘다, 총을 쏘아 죽이다[다치게 하다]"
blow,"불다, 날리다, 코를 풀다"
son,"아들, 를 부르는 말로) 청년[젊은이/얘야]"
church,"교회, …교"
ball,"공, 공 모양의 물체, 공"
corner,"모서리, 구석, 모퉁이"
hungry,"배고픈, 굶주리는, 굶주리는 사람들"
tire,"피로[피곤]해지다, 지치다"
hotel,"호텔, 식당"
capital,"수도, 자본금, 자산, 자본가"
lip,"입술, 가장자리[테두리]"
god,"하느님, 신, 신과 같은 존재"
knee,"무릎, 무릎"
shut,"닫다[닫히다], 문을 닫다"
mirror,"거울, 거울"
nurse,간호사
dear,"사랑하는, …에게[께]"
tape,"테이프, 띠[끈/테이프]"
loud,"큰, 시끄러운, 야단스러운"
soup,"수프, 니트로글리세린, 마력"
gate,"문, 출입구, 수문"
robot,"로봇, 인조인간"
tie,"묶다, 묶어 두다[놓다]"
queen,"여왕, 왕비, 여왕 같은[가장 우수한] 존재"
coat,"외투, 상의, 털[가죽]"
afternoon,오후
yellow,"노란, 노란색의, 누런둥이"
lake,호수
tomorrow,내일
tennis,테니스
shirt,셔츠
